meter_id,timestamp_utc,energy_kwh_cumulative
MTR-001,2025-01-01 00:00:00,136.27
MTR-001,2025-01-01 01:00:00,138.28
MTR-001,2025-01-01 02:00:00,139.26
MTR-001,2025-01-01 03:00:00,140.46
MTR-001,2025-01-01 04:00:00,142.0
MTR-001,2025-01-01 05:00:00,142.78
MTR-001,2025-01-01 06:00:00,144.74
MTR-001,2025-01-01 07:00:00,146.16
MTR-001,2025-01-01 08:00:00,148.05
MTR-001,2025-01-01 09:00:00,149.13
MTR-001,2025-01-01 10:00:00,150.53
MTR-001,2025-01-01 11:00:00,151.6
MTR-001,2025-01-01 12:00:00,153.01
MTR-001,2025-01-01 13:00:00,155.01
MTR-001,2025-01-01 14:00:00,156.49
MTR-001,2025-01-01 15:00:00,157.33
MTR-001,2025-01-01 16:00:00,158.69
MTR-001,2025-01-01 17:00:00,160.75
MTR-001,2025-01-01 18:00:00,162.97
MTR-001,2025-01-01 19:00:00,165.34
MTR-001,2025-01-01 20:00:00,166.6
MTR-001,2025-01-01 21:00:00,168.12
MTR-001,2025-01-01 22:00:00,169.71
MTR-001,2025-01-01 23:00:00,171.3
MTR-001,2025-01-02 00:00:00,172.42
MTR-001,2025-01-02 01:00:00,173.8
MTR-001,2025-01-02 02:00:00,175.4
MTR-001,2025-01-02 03:00:00,176.19
MTR-001,2025-01-02 04:00:00,178.42
MTR-001,2025-01-02 05:00:00,180.03
MTR-001,2025-01-02 06:00:00,182.32
MTR-001,2025-01-02 07:00:00,184.18
MTR-001,2025-01-02 08:00:00,186.77
MTR-001,2025-01-02 09:00:00,188.64
MTR-001,2025-01-02 10:00:00,189.91
MTR-001,2025-01-02 11:00:00,190.8
MTR-001,2025-01-02 12:00:00,192.37
MTR-001,2025-01-02 13:00:00,193.9
MTR-001,2025-01-02 14:00:00,195.15
MTR-001,2025-01-02 15:00:00,196.4
MTR-001,2025-01-02 16:00:00,197.99
MTR-001,2025-01-02 17:00:00,200.24
MTR-001,2025-01-02 18:00:00,202.08
MTR-001,2025-01-02 19:00:00,203.22
MTR-001,2025-01-02 20:00:00,205.42
MTR-001,2025-01-02 21:00:00,207.38
MTR-001,2025-01-02 22:00:00,208.78
MTR-001,2025-01-02 23:00:00,209.11
MTR-001,2025-01-03 00:00:00,210.93
MTR-001,2025-01-03 01:00:00,212.4
MTR-001,2025-01-03 02:00:00,213.84
MTR-001,2025-01-03 03:00:00,215.25
MTR-001,2025-01-03 04:00:00,216.25
MTR-001,2025-01-03 05:00:00,218.41
MTR-001,2025-01-03 06:00:00,220.09
MTR-001,2025-01-03 07:00:00,221.13
MTR-001,2025-01-03 08:00:00,222.22
MTR-001,2025-01-03 09:00:00,223.97
MTR-001,2025-01-03 10:00:00,225.8
MTR-001,2025-01-03 11:00:00,227.41
MTR-001,2025-01-03 12:00:00,228.46
MTR-001,2025-01-03 13:00:00,230.1
MTR-001,2025-01-03 14:00:00,232.08
MTR-001,2025-01-03 15:00:00,232.6
MTR-001,2025-01-03 16:00:00,234.76
MTR-001,2025-01-03 17:00:00,236.17
MTR-001,2025-01-03 18:00:00,237.98
MTR-001,2025-01-03 19:00:00,238.79
MTR-001,2025-01-03 20:00:00,241.36
MTR-001,2025-01-03 21:00:00,241.99
MTR-001,2025-01-03 22:00:00,242.73
MTR-001,2025-01-03 23:00:00,244.71
MTR-001,2025-01-04 00:00:00,246.43
MTR-001,2025-01-04 01:00:00,247.16
MTR-001,2025-01-04 02:00:00,249.04
MTR-001,2025-01-04 03:00:00,250.86
MTR-001,2025-01-04 04:00:00,252.27
MTR-001,2025-01-04 05:00:00,253.71
MTR-001,2025-01-04 06:00:00,255.38
MTR-001,2025-01-04 07:00:00,256.51
MTR-001,2025-01-04 08:00:00,258.47
MTR-001,2025-01-04 09:00:00,260.1
MTR-001,2025-01-04 10:00:00,261.79
MTR-001,2025-01-04 11:00:00,264.01
MTR-001,2025-01-04 12:00:00,266.29
MTR-001,2025-01-04 13:00:00,266.73
MTR-001,2025-01-04 14:00:00,267.97
MTR-001,2025-01-04 15:00:00,269.07
MTR-001,2025-01-04 16:00:00,270.44
MTR-001,2025-01-04 17:00:00,271.41
MTR-001,2025-01-04 18:00:00,272.53
MTR-001,2025-01-04 19:00:00,273.89
MTR-001,2025-01-04 20:00:00,274.99
MTR-001,2025-01-04 21:00:00,276.17
MTR-001,2025-01-04 22:00:00,278.47
MTR-001,2025-01-04 23:00:00,279.85
MTR-001,2025-01-05 00:00:00,281.25
MTR-001,2025-01-05 01:00:00,282.9
MTR-001,2025-01-05 02:00:00,284.56
MTR-001,2025-01-05 03:00:00,286.11
MTR-001,2025-01-05 04:00:00,287.86
MTR-001,2025-01-05 05:00:00,288.93
MTR-001,2025-01-05 06:00:00,290.52
MTR-001,2025-01-05 07:00:00,291.23
MTR-001,2025-01-05 08:00:00,292.9
MTR-001,2025-01-05 09:00:00,293.82
MTR-001,2025-01-05 10:00:00,295.66
MTR-001,2025-01-05 11:00:00,296.71
MTR-001,2025-01-05 12:00:00,297.6
MTR-001,2025-01-05 13:00:00,299.15
MTR-001,2025-01-05 14:00:00,300.73
MTR-001,2025-01-05 15:00:00,302.69
MTR-001,2025-01-05 16:00:00,303.74
MTR-001,2025-01-05 17:00:00,304.54
MTR-001,2025-01-05 18:00:00,305.87
MTR-001,2025-01-05 19:00:00,306.31
MTR-001,2025-01-05 20:00:00,308.52
MTR-001,2025-01-05 21:00:00,309.37
MTR-001,2025-01-05 22:00:00,310.11
MTR-001,2025-01-05 23:00:00,312.16
MTR-001,2025-01-06 00:00:00,313.62
MTR-001,2025-01-06 01:00:00,314.58
MTR-001,2025-01-06 02:00:00,316.13
MTR-001,2025-01-06 03:00:00,317.77
MTR-001,2025-01-06 04:00:00,318.57
MTR-001,2025-01-06 05:00:00,320.17
MTR-001,2025-01-06 06:00:00,321.91
MTR-001,2025-01-06 07:00:00,322.76
MTR-001,2025-01-06 08:00:00,324.16
MTR-001,2025-01-06 09:00:00,325.47
MTR-001,2025-01-06 10:00:00,326.68
MTR-001,2025-01-06 11:00:00,327.22
MTR-001,2025-01-06 12:00:00,329.42
MTR-001,2025-01-06 13:00:00,330.2
MTR-001,2025-01-06 14:00:00,331.83
MTR-001,2025-01-06 15:00:00,333.62
MTR-001,2025-01-06 16:00:00,335.17
MTR-001,2025-01-06 17:00:00,336.99
MTR-001,2025-01-06 18:00:00,338.32
MTR-001,2025-01-06 19:00:00,340.22
MTR-001,2025-01-06 20:00:00,342.0
MTR-001,2025-01-06 21:00:00,344.14
MTR-001,2025-01-06 22:00:00,345.95
MTR-001,2025-01-06 23:00:00,347.95
MTR-001,2025-01-07 00:00:00,349.2
MTR-001,2025-01-07 01:00:00,351.52
MTR-001,2025-01-07 02:00:00,352.1
MTR-001,2025-01-07 03:00:00,353.81
MTR-001,2025-01-07 04:00:00,354.68
MTR-001,2025-01-07 05:00:00,356.5
MTR-001,2025-01-07 06:00:00,357.81
MTR-001,2025-01-07 07:00:00,358.34
MTR-001,2025-01-07 08:00:00,359.79
MTR-001,2025-01-07 09:00:00,361.09
MTR-001,2025-01-07 10:00:00,363.12
MTR-001,2025-01-07 11:00:00,365.74
MTR-001,2025-01-07 12:00:00,367.74
MTR-001,2025-01-07 13:00:00,368.45
MTR-001,2025-01-07 14:00:00,370.3
MTR-001,2025-01-07 15:00:00,371.12
MTR-001,2025-01-07 16:00:00,372.3
MTR-001,2025-01-07 17:00:00,373.54
MTR-001,2025-01-07 18:00:00,374.84
MTR-001,2025-01-07 19:00:00,376.12
MTR-001,2025-01-07 20:00:00,377.44
MTR-001,2025-01-07 21:00:00,379.32
MTR-001,2025-01-07 22:00:00,380.21
MTR-001,2025-01-07 23:00:00,381.84
MTR-001,2025-01-08 00:00:00,383.79
MTR-001,2025-01-08 01:00:00,385.34
MTR-001,2025-01-08 02:00:00,387.39
MTR-001,2025-01-08 03:00:00,388.35
MTR-001,2025-01-08 04:00:00,389.89
MTR-001,2025-01-08 05:00:00,391.79
MTR-001,2025-01-08 06:00:00,393.23
MTR-001,2025-01-08 07:00:00,394.44
MTR-001,2025-01-08 08:00:00,395.91
MTR-001,2025-01-08 09:00:00,396.69
MTR-001,2025-01-08 10:00:00,399.16
MTR-001,2025-01-08 11:00:00,400.48
MTR-001,2025-01-08 12:00:00,401.56
MTR-001,2025-01-08 13:00:00,403.69
MTR-001,2025-01-08 14:00:00,404.76
MTR-001,2025-01-08 15:00:00,406.38
MTR-001,2025-01-08 16:00:00,407.73
MTR-001,2025-01-08 17:00:00,409.12
MTR-001,2025-01-08 18:00:00,410.31
MTR-001,2025-01-08 19:00:00,410.62
MTR-001,2025-01-08 20:00:00,411.82
MTR-001,2025-01-08 21:00:00,412.97
MTR-001,2025-01-08 22:00:00,414.77
MTR-001,2025-01-08 23:00:00,416.38
MTR-001,2025-01-09 00:00:00,418.19
MTR-001,2025-01-09 01:00:00,419.02
MTR-001,2025-01-09 02:00:00,420.07
MTR-001,2025-01-09 03:00:00,421.08
MTR-001,2025-01-09 04:00:00,422.68
MTR-001,2025-01-09 05:00:00,423.43
MTR-001,2025-01-09 06:00:00,424.78
MTR-001,2025-01-09 07:00:00,426.57
MTR-001,2025-01-09 08:00:00,428.83
MTR-001,2025-01-09 09:00:00,430.34
MTR-001,2025-01-09 10:00:00,432.19
MTR-001,2025-01-09 11:00:00,434.39
MTR-001,2025-01-09 12:00:00,436.07
MTR-001,2025-01-09 13:00:00,437.4
MTR-001,2025-01-09 14:00:00,438.98
MTR-001,2025-01-09 15:00:00,440.71
MTR-001,2025-01-09 16:00:00,441.92
MTR-001,2025-01-09 17:00:00,443.84
MTR-001,2025-01-09 18:00:00,445.6
MTR-001,2025-01-09 19:00:00,446.72
MTR-001,2025-01-09 20:00:00,447.64
MTR-001,2025-01-09 21:00:00,449.05
MTR-001,2025-01-09 22:00:00,450.22
MTR-001,2025-01-09 23:00:00,451.91
MTR-001,2025-01-10 00:00:00,452.66
MTR-001,2025-01-10 01:00:00,453.49
MTR-001,2025-01-10 02:00:00,455.22
MTR-001,2025-01-10 03:00:00,455.96
MTR-001,2025-01-10 04:00:00,457.54
MTR-001,2025-01-10 05:00:00,458.38
MTR-001,2025-01-10 06:00:00,460.56
MTR-001,2025-01-10 07:00:00,461.87
MTR-001,2025-01-10 08:00:00,462.93
MTR-001,2025-01-10 09:00:00,464.3
MTR-001,2025-01-10 10:00:00,465.12
MTR-001,2025-01-10 11:00:00,467.19
MTR-001,2025-01-10 12:00:00,467.78
MTR-001,2025-01-10 13:00:00,469.26
MTR-001,2025-01-10 14:00:00,470.8
MTR-001,2025-01-10 15:00:00,473.03
MTR-001,2025-01-10 16:00:00,474.68
MTR-001,2025-01-10 17:00:00,476.78
MTR-001,2025-01-10 18:00:00,478.45
MTR-001,2025-01-10 19:00:00,479.24
MTR-001,2025-01-10 20:00:00,481.47
MTR-001,2025-01-10 21:00:00,483.38
MTR-001,2025-01-10 22:00:00,484.89
MTR-001,2025-01-10 23:00:00,485.63
MTR-001,2025-01-11 00:00:00,487.07
MTR-001,2025-01-11 01:00:00,488.02
MTR-001,2025-01-11 02:00:00,489.86
MTR-001,2025-01-11 03:00:00,491.16
MTR-001,2025-01-11 04:00:00,493.19
MTR-001,2025-01-11 05:00:00,494.12
MTR-001,2025-01-11 06:00:00,495.31
MTR-001,2025-01-11 07:00:00,497.15
MTR-001,2025-01-11 08:00:00,499.09
MTR-001,2025-01-11 09:00:00,500.82
MTR-001,2025-01-11 10:00:00,501.3
MTR-001,2025-01-11 11:00:00,501.98
MTR-001,2025-01-11 12:00:00,503.11
MTR-001,2025-01-11 13:00:00,504.03
MTR-001,2025-01-11 14:00:00,505.27
MTR-001,2025-01-11 15:00:00,506.49
MTR-001,2025-01-11 16:00:00,507.78
MTR-001,2025-01-11 17:00:00,509.35
MTR-001,2025-01-11 18:00:00,511.36
MTR-001,2025-01-11 19:00:00,512.94
MTR-001,2025-01-11 20:00:00,514.68
